<:00:807319113550266398>|Air Block
<:01:807319113612394507>|Stone 
<:02:807319113805987840>|Grass Block
<:03:807319113621176350>|Dirt
<:04:807319113738616842>|Cobble Stone
<:05:807319113671245895>|Wood Plank
<:06:807319113914515486>|Door Top
<:07:807319113810313286>|Door Bottom
<:08:807319114254778468>|Trapdoor
<:09:807319113827483648>|Wood Log
<:10:807319114146119690>|Leaves
<:11:807319111914618912>|Sapling
<:12:807319112199700510>|Dandelion
<:13:807319112291581962>|Rose
<:14:807319113936535602>|Sand
<:15:807319113659580466>|Gravel
<:16:807319114347446312>|Glass
<:17:807319113978216468>|Sponge
<:18:807319114028285982>|Torch
<a:19:809596099219292180>|Fire
<:20:807319113957245038>|Ladder
<:21:807319113923952700>|Block of Gold
<:22:807319114044932150>|Block of Iron
<:23:807319114107846706>|Block of Diamond
<:24:807319113898524732>|Block of Emerald
<:25:807319114057777182>|Block of Redstone
<:26:807319114136944681>|Gold Ore
<:27:807319113907175434>|Iron Ore
<:28:807319113932210206>|Diamond Ore
<:29:807319114153984091>|Coal Ore
<:30:807319114099851304>|Bricks
<:31:807319114094870588>|TNT
<:32:807319113805856788>|Bookshelf
<:33:807319114309828618>|Glowstone
<:34:807319114170630174>|Obsidian
<:35:807319114062233610>|Bedrock
<:36:807319113985949717>|Jack o' Lantern
<:37:807319114070360144>|Soul Sand
<:38:807319113905995776>|Crafting Table
<:39:807319113969041459>|Furnace
<:40:807319114217160724>|Barrel
<:41:807319113973104740>|Bed Head
<:42:807319114137862184>|Bed Foot
<a:43:813185914704101386>|Nether Portal
<:44:813185914338541568>|End Portal Frame
<:45:813185914523877396>|End Stone
<:46:813653317611552768>|Netherrack
